Indicator ,Indicator Domain,Quality,Definition
LE,Federal_Listing,Endangered,Taxa listed as Endangered under the federal ESA; in danger of extinction throughout all or a significant portion of its range.
LT,Federal_Listing,Threatened ,Taxa listed as Threatened under the federal ESA; likely to become endangered within the foreseeable future throughout all or a significant portion of its range.
LC,Federal_Listing,Candidate species,Taxa listed as Endangered under the federal ESA; in danger of extinction throughout all or a significant portion of its range.
LT,Federal_Listing,Threatened ,Taxa listed as Threatened under the federal ESA; likely to become endangered within the foreseeable future throughout all or a significant portion of its range.
G1,Global_Rank,Critically Imperiled,"At very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
G2,Global_Rank,Imperiled,"At high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
G3,Global_Rank,Vulnerable,"At moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
G4,Global_Rank,Widespread/Apparently Secure,"At fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
G5,Global_Rank,Demonstrably Widespread and Secure,"At very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
?,Global_Rank Qualifier,Uncertain,Global rank is uncertain.
NR,Global_Rank_Qualifier,Not Ranked,There is not global rank because it is not ranked.
NA,Global_Rank_Qualifier,Not Applicable,A conservation status rank is not applicable because the species is not a suitable target for conservation activities.
G1,Global_Rank_Range,Critically Imperiled,"At very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
G2,Global_Rank_Range,Imperiled,"At high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
G3,Global_Rank_Range,Vulnerable,"At moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
G4,Global_Rank_Range,Widespread/Apparently Secure,"At fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
G5,Global_Rank_Range,Demonstrably Widespread and Secure,"At very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
T1,Global_Taxon,Critically Imperiled,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
T2,Global_Taxon,Imperiled,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
T3,Global_Taxon,Vulnerable,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
T4,Global_Taxon,Widespread/Apparently Secure,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
T5,Global_Taxon,Demonstrably Widespread and Secure,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
TX,Global_Taxon,Taxon,Indicates that the infraspecific taxon (subspecies or variety) is ranked differently than the typical species.
NR,Global_Taxon_Qualifer,Not Ranked,There is no taxon rank because it is not ranked.
Q,Global_Taxon_Qualifier,Questionable taxonomy,Taxonomy rank is questionable
T1,Global_Taxon_Range,Critically Imperiled,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
T2,Global_Taxon_Range,Imperiled,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
T3,Global_Taxon_Range,Vulnerable,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
T4,Global_Taxon_Range,Widespread/Apparently Secure,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
T5,Global_Taxon_Range,Demonstrably Widespread and Secure,"The infraspecific taxon (subspecies or varitety) is ranked differently than the typcial species. It is at very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
T,State_Listing,Threatened ,"A species that appears likely, within the foreseeable future, to become endangered in Indiana."
E,State_Listing,Endangered,A species whose continued existence as a viable component of the state's flora is determined to be in jeopardy.
X,State_Listing,"Endangered, extirpated","A species that was once a viable component of the flora of Maryland, but for which no naturally occurring populations are known to exist."
RE,State_Listing,Reintroduced,Species was reintroduced in the state.
WL,State_Listing,Watch List,Species is on the state's watch list
S1,State_Rank,Highly State Rare,"At very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
S2,State_Rank,State Rare,"At high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
S3,State_Rank,Watchlist,"At moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
S4,State_Rank,Widespread/Apparently Secure,"At fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
S5,State_Rank,Demonstrably Widespread and Secure,"At very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
S3.1,State_Rank,Vulnerable and globally rare,"A species that is actively tracked by the Service because of the global significance of Maryland occurrences. Although not currently threatened or endangered, Maryland occurrences may be critical to the long-term security of the species."
?,State_Rank Qualifier,Uncertain,State Rank is uncertain.
H,State_Rank_Qualifier,Historical,"Known only from historical records but still some hope of rediscovery. There is evidence that the species may no longer be present in the jurisdiction, (i.e. global, or state/province) but not enough to state this with certainty."
PX,State_Rank_Qualifier,Presumed Extirpated,"Species believed to be extirpated from the jurisdiction (i.e. global, or state/province). Not located despite intensive searches of historical sites and other appropriate habitat, and virtually no likelihood that it will be rediscovered."
U,State_Rank_Qualifier,Uncertain,"Status uncertain, but possibly in peril. More information needed."
S1,State_Rank_Range,Highly State Rare,"At very high risk of extinction or extirpation due to very restricted range, very few populations or occurrences, very steep declines, very severe threats, or other factors. Typically occurring in five or fewer populations."
S2,State_Rank_Range,State Rare,"At high risk of extinction or extirpation due to restricted range, few populations or occurrences, steep declines, severe threats, or other factors. Typically occurring in 6-20 populations"
S3,State_Rank_Range,Watchlist,"At moderate risk of extinction or extirpation due to a fairly restricted range, relatively few populations or occurrences, recent and widespread declines, threats, or other factors. Typically occurring in 21-80 populations."
S4,State_Rank_Range,Widespread/Apparently Secure,"At fairly low risk of extinction or extirpation due to an extensive range and/or many populations or occurrences, but with possible cause for some concern as a result of local recent declines, threats, or other factors."
S5,State_Rank_Range,Demonstrably Widespread and Secure,"At very low risk of extinction or extirpation due to a very extensive range, abundant populations or occurrences, and little to no concern from declines or threats."
S3.1,State_Rank_Range,Vulnerable and globally rare,"A species that is actively tracked by the Service because of the global significance of Maryland occurrences. Although not currently threatened or endangered, Maryland occurrences may be critical to the long-term security of the species."