Element,Namespace,Namespace_Definition,Optionality,Cardinality,Permitted_Encoding_Scheme,Content_Rules,Example
title,dct:title,A name given to the item,Required,Bounded,XML,,Rare Vasucular Plants of Indiana
format,dct:format,The file format of the distribution,Optional,Bounded,XML,,csv
rightsHolder,http://purl.org/dc/terms/rightsHolder,A person or organization owning or managing rights over the resource.,Required,Unbounded,XML,,The Regents of the University of California
accessRights,http://purl.org/dc/terms/accessRights,"Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies.",Required,Unbounded,XML,,"not-for-profit use only, https://www.fieldmuseum.org/field-museum-natural-history-conditions-and-suggested-norms-use-collections-data-and-images"
continent,http://rs.tdwg.org/dwc/terms/continent,The name of the continent in which the Location occurs.,Optional,Unbounded,XML,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Africa, Antarctica, Asia, Europe, North America, Oceania, South America"
country,http://rs.tdwg.org/dwc/terms/country,The name of the country or major administrative unit in which the Location occurs.,Optional,Unbounded,XML,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,"Denmark, Colombia, España"
stateProvince,http://rs.tdwg.org/dwc/terms/stateProvince,"The name of the next smaller administrative region than country (state, province, canton, department, region, etc.) in which the Location occurs.",Optional,Unbounded,XML,Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.,Montana
relationshipAccordingTo,http://rs.tdwg.org/dwc/terms/relationshipAccordingTo,"The source (person, organization, publication, reference) establishing the relationship between the two resources",Required,Unbounded,XML,,Julie Woodruff
organismScope,http://rs.tdwg.org/dwc/terms/organismScope,A description of the kind of Organism instance. Can be used to indicate whether the Organism instance represents a discrete organism or if it represents a particular type of aggregation,Optional,Unbounded,XML,,Vascular rare plant species
Licence,dct:license,A legal document under which the resource is made available,Required,Bounded,XML,,Creative Commons License
Description,dct:description,A free-text account of the item,Required,Bounded,XML,"Include file name at end of custome description, separated by a semicolon",This dataset describes rare vascular plants of Indiana
LandingPage,dcat:landingPage,"This field is not intended for an agency’s homepage (e.g. www.agency.gov), but rather if a dataset has a human-friendly hub or landing page that users can be directed to for all resources tied to the dataset",Optional,Unbounded,XML,,https://www.nh.gov/nhdfl/documents/tracking-list-plant-general.pdf
modified,dct:modified,"Most recent date on which the item was changed, updated or modified.",Required,Unbounded,XML,,"{""modified"":""2012-01-15""} or {""modified"":""R/P1D""}"